#num,year,month,date,time[second],SeaIceExtent[km2]
351,1980,11,04,63417600,17596982
352,1980,11,06,63590400,17397936
353,1980,11,08,63763200,17266117
354,1980,11,10,63936000,17135690
355,1980,11,12,64108800,16965577
356,1980,11,14,64281600,16748070
357,1980,11,16,64454400,16477905
358,1980,11,18,64627200,16176869
359,1980,11,20,64800000,15868698
360,1980,11,22,64972800,15506398
361,1980,11,24,65145600,15176032
362,1980,11,26,65318400,14849581
363,1980,11,28,65491200,14400586
364,1980,11,30,65664000,14016108
365,1980,12,02,65836800,13652373
366,1980,12,04,66009600,13252282
367,1980,12,06,66182400,12747557
368,1980,12,08,66355200,12153296
369,1980,12,10,66528000,11700186
370,1980,12,12,66700800,11214949
371,1980,12,14,66873600,10663546
372,1980,12,16,67046400,10244499
373,1980,12,18,67219200,9829441
374,1980,12,20,67392000,9182170
375,1980,12,22,67564800,8668315
376,1980,12,24,67737600,8143084
377,1980,12,26,67910400,7602598
378,1980,12,28,68083200,7172296
379,1980,12,30,68256000,6794519
380,1981,01,01,68428800,6199770
381,1981,01,03,68601600,5733736
382,1981,01,05,68774400,5360908
383,1981,01,07,68947200,5050683
384,1981,01,09,69120000,4819711
385,1981,01,11,69292800,4608606
386,1981,01,13,69465600,4405616
387,1981,01,15,69638400,4216360
388,1981,01,17,69811200,4082171
389,1981,01,19,69984000,3973370
390,1981,01,21,70156800,3871838
391,1981,01,23,70329600,3783767
392,1981,01,25,70502400,3696870
393,1981,01,27,70675200,3624153
394,1981,01,29,70848000,3513665
395,1981,01,31,71020800,3450431
396,1981,02,02,71193600,3335304
397,1981,02,04,71366400,3225648
398,1981,02,06,71539200,3137482
399,1981,02,08,71712000,3018076
400,1981,02,10,71884800,2915783
401,1981,02,12,72057600,2844787
402,1981,02,14,72230400,2792368
403,1981,02,16,72403200,2770385
404,1981,02,18,72576000,2740228
405,1981,02,20,72748800,2777014
406,1981,02,22,72921600,2788971
407,1981,02,24,73094400,2841691
408,1981,02,26,73267200,2872148
409,1981,03,06,73958400,2929678
410,1981,03,08,74131200,2985638
411,1981,03,10,74304000,3070286
412,1981,03,12,74476800,3202763
413,1981,03,14,74649600,3338723
414,1981,03,16,74822400,3493018
415,1981,03,18,74995200,3593516
416,1981,03,20,75168000,3705501
417,1981,03,22,75340800,3863550
418,1981,03,24,75513600,4048907
419,1981,03,26,75686400,4244652
420,1981,03,28,75859200,4354692
421,1981,03,30,76028400,4501577
422,1981,04,01,76201200,4615979
423,1981,04,03,76374000,4791167
424,1981,04,05,76546800,4969138
425,1981,04,07,76719600,5141541
426,1981,04,09,76892400,5332666
427,1981,04,11,77065200,5543963
428,1981,04,13,77238000,5717369
429,1981,04,15,77410800,5940651
430,1981,04,17,77583600,6116008
431,1981,04,19,77756400,6314376
432,1981,04,21,77929200,6571022
433,1981,04,23,78102000,6799078
434,1981,04,25,78274800,7088188
435,1981,04,27,78447600,7312766
436,1981,04,29,78620400,7506885
437,1981,05,01,78793200,7705992
438,1981,05,03,78966000,7908602
439,1981,05,05,79138800,8134941
440,1981,05,07,79311600,8379913
441,1981,05,09,79484400,8595538
442,1981,05,11,79657200,8830058
443,1981,05,13,79830000,9089045
444,1981,05,15,80002800,9364774
445,1981,05,17,80175600,9603472
446,1981,05,19,80348400,9893238
447,1981,05,21,80521200,10146374
448,1981,05,23,80694000,10457539
449,1981,05,25,80866800,10646449
450,1981,05,27,81039600,10885707
451,1981,05,29,81212400,11146036
452,1981,05,31,81385200,11497343
453,1981,06,02,81558000,11760606
454,1981,06,04,81730800,11892433
455,1981,06,06,81903600,12018349
456,1981,06,08,82076400,12142038
457,1981,06,10,82249200,12486972
458,1981,06,12,82422000,12764352
459,1981,06,14,82594800,13061241
460,1981,06,16,82767600,13426597
461,1981,06,18,82940400,13724713
462,1981,06,20,83113200,13929668
463,1981,06,22,83286000,14018226
464,1981,06,24,83458800,14246707
465,1981,06,26,83631600,14521823
466,1981,06,28,83804400,14749116
467,1981,06,30,83977200,15013227
468,1981,07,02,84150000,15263245
469,1981,07,04,84322800,15430778
470,1981,07,06,84495600,15509682
471,1981,07,08,84668400,15631972
472,1981,07,10,84841200,15789556
473,1981,07,12,85014000,15978692
474,1981,07,14,85186800,16158620
475,1981,07,16,85359600,16201686
476,1981,07,18,85532400,16323562
477,1981,07,20,85705200,16475642
478,1981,07,22,85878000,16705557
479,1981,07,24,86050800,16919895
480,1981,07,26,86223600,17003040
481,1981,07,28,86396400,17093392
482,1981,07,30,86569200,17165814
483,1981,08,01,86742000,17307906
484,1981,08,03,86914800,17311575
485,1981,08,05,87087600,17437408
486,1981,08,07,87260400,17521095
487,1981,08,09,87433200,17751181
488,1981,08,11,87606000,17862627
489,1981,08,13,87778800,17974350
490,1981,08,15,87951600,18095221
491,1981,08,17,88124400,18178600
492,1981,08,19,88297200,18197806
493,1981,08,21,88470000,18158816
494,1981,08,23,88642800,18181114
495,1981,08,25,88815600,18219734
496,1981,08,27,88988400,18296494
497,1981,08,29,89161200,18340143
498,1981,08,31,89334000,18390134
499,1981,09,02,89506800,18420399
500,1981,09,04,89679600,18467772
501,1981,09,06,89852400,18499375
502,1981,09,08,90025200,18622163
503,1981,09,10,90198000,18616070
504,1981,09,12,90370800,18735337
505,1981,09,14,90543600,18831224
506,1981,09,16,90716400,18933383
507,1981,09,18,90889200,18985342
508,1981,09,20,91062000,18990362
509,1981,09,22,91234800,18902326
510,1981,09,24,91407600,18931990
511,1981,09,26,91580400,18955759
512,1981,09,28,91753200,18972470
513,1981,09,30,91926000,18952326
514,1981,10,02,92098800,18926235
515,1981,10,04,92271600,18878926
516,1981,10,06,92444400,18856157
517,1981,10,08,92617200,18819291
518,1981,10,10,92790000,18834140
519,1981,10,12,92962800,18756883
520,1981,10,14,93135600,18689319
521,1981,10,16,93308400,18595821
522,1981,10,18,93481200,18537495
523,1981,10,20,93654000,18382893
524,1981,10,22,93826800,18153157
525,1981,10,24,93999600,18030481
526,1981,10,26,94176000,17869558
527,1981,10,28,94348800,17726016
528,1981,10,30,94521600,17532303
529,1981,11,01,94694400,17332090
530,1981,11,03,94867200,17111096
531,1981,11,05,95040000,16958240
